URL,Restaurant name,Rating,Total ratings,Type of restaurant,location,Opening Hours,Closing  Hours,Image URL,dining service,Dining service2,Delivery service
https://www.google.com/maps/place/Silk+Road+restaurant+and+Bar/data=!4m7!3m6!1s0x3995958bcbe8cd23:0x149ce2ede118ac29!8m2!3d28.2195232!4d83.9579199!16s%2Fg%2F11j_2bfjv8!19sChIJI83oy4uVlTkRKawY4e3inBQ?authuser=0&hl=en&rclk=1,Silk Road restaurant and Bar,4.6,36,Restaurant,Baidam Rd, Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipPizUtcveCDPMHctMXFQqiJsqNgyp27fC4N6TzU=w80-h106-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Baral+Brothers+Restaurant/data=!4m7!3m6!1s0x399595002764b93d:0xbda590e946460a07!8m2!3d28.213653!4d83.9726395!16s%2Fg%2F11g8tzb149!19sChIJPblkJwCVlTkRBwpGRumQpb0?authuser=0&hl=en&rclk=1,Baral Brothers Restaurant,4.3,44,Restaurant,6X7F+F36, Opens 8AM,Closes 8PM,https://lh5.googleusercontent.com/p/AF1QipPfEZod15QGDSKVvijFvt0UTot8_vG_VYZbIP7o=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Gurung+khaja+ghar/data=!4m7!3m6!1s0x399595e84ba2ff31:0x255ed9c6f1c0b388!8m2!3d28.2078851!4d83.9644309!16s%2Fg%2F11j_xy3c_s!19sChIJMf-iS-iVlTkRiLPA8cbZXiU?authuser=0&hl=en&rclk=1,Gurung khaja ghar,5,1,Restaurant,"lakeside, Pokhara 6", Opens 8AM,Closes 8PM,https://lh5.googleusercontent.com/p/AF1QipO1F0n2CGyZh8R80pFqJQ45652yuBimLmmehOQZ=w80-h106-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Bohemian+Rhapsody+Restro/data=!4m7!3m6!1s0x3995958b5e146e9d:0xb238d89306a99e12!8m2!3d28.2174493!4d83.958693!16s%2Fg%2F11fb0sy_6_!19sChIJnW4UXouVlTkREp6pBpPYOLI?authuser=0&hl=en&rclk=1,Bohemian Rhapsody Restro,2.4,32,Restaurant,, Opens 8AM,Opens 11AM ,https://lh5.googleusercontent.com/p/AF1QipNf3xl6-JeyYQn8VaJFJpWiq9WN_r23ojxq4GOp=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Barahi+Thakali+Kitchen+%26+Restaurant+Pokhara/data=!4m7!3m6!1s0x3995958c077ba4fd:0x83df6315628ee5c3!8m2!3d28.2138934!4d83.9603058!16s%2Fg%2F11tmwdw1ky!19sChIJ_aR7B4yVlTkRw-WOYhVj34M?authuser=0&hl=en&rclk=1,Barahi Thakali Kitchen & Restaurant Pokhara,3.9,42,Restaurant,Lake Side, Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipMQPfq3AP-5govyMJnWhGEQmlJIfsJo8Y6nCI7L=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/All+In+One+Restaurant/data=!4m7!3m6!1s0x399594e1fd4f4a33:0x78522a8c172fa046!8m2!3d28.212929!4d83.9577212!16s%2Fg%2F11c0xc_7zs!19sChIJM0pP_eGUlTkRRqAvF4wqUng?authuser=0&hl=en&rclk=1,All In One Restaurant,4.7,38,Restaurant,6X75+53H, Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipPu2T6NN44UjdN1l_Fo4nYgLHXI7wpCWeIYGuqZ=w163-h92-k-no,Dine-in,Takeaway,Delivery
"https://www.google.com/maps/place/Kumar+resturent,New+road+pokhara/data=!4m7!3m6!1s0x3995955faf4a8d3d:0x9509baeece103aec!8m2!3d28.2116688!4d83.9846424!16s%2Fg%2F11mtffq19c!19sChIJPY1Kr1-VlTkR7DoQzu66CZU?authuser=0&hl=en&rclk=1","Kumar resturent,New road pokhara",3.8,15,Restaurant,6X6M+MV6, Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipMQNFUEBssQLuc1XELhQ7_aZAu8jgLicNj0XUgK=w163-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Bhandari+Restaurant/data=!4m7!3m6!1s0x399595adb8ea2a7f:0x92126105e49c2197!8m2!3d28.2098615!4d83.9833099!16s%2Fg%2F11by_n_jzt!19sChIJfyrquK2VlTkRlyGc5AVhEpI?authuser=0&hl=en&rclk=1,Bhandari Restaurant,3.9,18,Restaurant,"6X5M+W8V, Shavagriha chowk sivalaye marg", Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipPj312csbDAgcQU74obYgIr-oVrQTgfAU21Y86D=w80-h106-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Aarshibad+Indian+Restaurant+lakeside+6+pokhara/data=!4m7!3m6!1s0x399595e913ed8d8f:0xbfe584b0563c47e6!8m2!3d28.2095831!4d83.9855674!16s%2Fg%2F11hzqgmfdf!19sChIJj43tE-mVlTkR5kc8VrCE5b8?authuser=0&hl=en&rclk=1,Aarshibad Indian Restaurant lakeside 6 pokhara,3.8,15,Restaurant,6X5P+R6P, Opens 8AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipP2PbgpoArvOP5zYzSqzOae7j08pPfM3VJktBd2=w80-h116-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Red+Brick+bar+and+grill/data=!4m7!3m6!1s0x3995edfa35d59bb5:0x1a5f5f4ac41622ba!8m2!3d28.2129885!4d83.9580311!16s%2Fg%2F11llyk60ml!19sChIJtZvVNfrtlTkRuiIWxEpfXxo?authuser=0&hl=en&rclk=1,Red Brick bar and grill,4.6,89,Restaurant,"Lalupate Marg, 17th street", Opens 8AM,Closes 12AM,https://lh5.googleusercontent.com/p/AF1QipMnkDy1EwyDgvSyXMywI_P7uCD87X_ucRhINvsI=w122-h92-k-no,Dine-in,Drive-through,Delivery
