restoImageUrl,title,location,review
https://merokinmel.com/storage/category/icon/63b3b555caf8f.png,Brixton Restaurant,"Pulchok - 1, Bharatpur, Chitwan, Bagmati",0
https://merokinmel.com/storage/category/icon/5ee46f86d7902.jpg,Belna Restaurant,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",49
https://merokinmel.com/storage/category/icon/62c017e6e980c.png,City Restro & Bar,"Lilachok - 1, Bharatpur, Chitwan, Bagmati",2
https://merokinmel.com/storage/category/icon/62b16d8335c0b.png,GOD - Garden Of Drinks,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",3
https://merokinmel.com/storage/category/icon/5eeb75813b714.png,Jamghat Restaurant,"Sahidchok - 1, Bharatpur, Chitwan, Bagmati",24
https://merokinmel.com/storage/category/icon/6409d145ef977.png,Modern Talking Cafe,"Sahidchok - 1, Bharatpur, Chitwan, Bagmati",2
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Shrestha Tandoori & Thakali Bhancha Ghar,"Mills Area - 1, Bharatpur, Chitwan, Bagmati",32
https://merokinmel.com/storage/category/icon/5de908c0596c4.png,Snooks Cafe & Pub,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",8
https://merokinmel.com/storage/category/icon/5de8c57577527.png,Eatwell Bakery & Cafe,"Pulchok - 1, Bharatpur, Chitwan, Bagmati",30
https://merokinmel.com/storage/category/icon/5dea4952ed3ac.png,Chitwan Bakery Cafe (Chaubiskoti),"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",24
https://merokinmel.com/storage/category/icon/6190bcc5820f2.jpg,Newa Lahana,"Ksetrapur - 2, Bharatpur, Chitwan, Bagmati",16
https://merokinmel.com/storage/category/icon/60f2cda6e5456.jpg,The Jankoz Family Restro Japanese and Korean Fusion,"Shivalayachok - 10, Bharatpur, Chitwan, Bagmati",14
https://merokinmel.com/storage/category/icon/5fd5c31b35d93.png,Metro Pizza,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",32
https://merokinmel.com/storage/category/icon/5de8edd32d06d.png,The Tandoor Palace,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",28
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Le Paraiso,"Mills Area - 2, Bharatpur, Chitwan, Bagmati",4
https://merokinmel.com/storage/category/icon/614359566e486.jpg,Mamacha,"Mills Area - 3, Bharatpur, Chitwan, Bagmati",3
https://merokinmel.com/storage/category/icon/60853e158aa2e.png,Dalucha The Newari Restaurant,"Pokhareltol - 12, Bharatpur, Chitwan, Bagmati",9
https://merokinmel.com/storage/category/icon/5de8fcd5bbd72.png,Bharatpur Garden Resort (BGR),"Mills Area - 10, Bharatpur, Chitwan, Bagmati",23
https://merokinmel.com/storage/category/icon/61ab72bd5ff78.jpg,The Cocktail Cafe and Restaurant,"Madi Thori - 9, Sharadpur, Bharatpur, Chitwan",2
https://merokinmel.com/storage/category/icon/6037c13b843df.png,Green Leaf Restro,"Mills Area - 10, Bharatpur, Chitwan, Bagmati",13
https://merokinmel.com/storage/category/icon/5de8f57e8faaa.png,Dabali,"BHARATPUR - 10, Bharatpur, Chitwan, Bagmati",15
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Chitwan Hankook Sarang,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",1
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Beer Durbar,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",1
https://merokinmel.com/storage/category/icon/5edc8f66865f5.png,Chitwan Hygiene Foods Pvt. Ltd.,"Ksetrapur - 1, Bharatpur, Chitwan, Bagmati",3
https://merokinmel.com/storage/category/icon/62a8bf2536e7a.jpg,Fork & Spoon,"Sahidchok - 1, Bharatpur, Chitwan, Bagmati",14
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Siraichuli Hotel,"Mills Area - 10, Bharatpur, Chitwan, Bagmati",4
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Antique Katti Roll,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",0
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Lovely Food Production,"Sahidchok - 3, Bharatpur, Chitwan, Bagmati",1
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Coz Cafe,"Mills Area - 1, Bharatpur, Chitwan, Bagmati",2
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Wood and Garden,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",0
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Trend's Momo Corner,"Mills Area - 2, Bharatpur, Chitwan, Bagmati",0
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Ratna Restaurant & Bar,"Barmelicamp - 10, Bharatpur, Chitwan, Bagmati",1
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Pakku's Cafe & Restro,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",2
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,CMT Resort,"Prithvichok - 9, Bharatpur, Chitwan, Bagmati",1
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,PGH BBQ GRILL,"Chaubiskothi - 10, Bharatpur, Chitwan, Bagmati",1
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Momo Bro,"Lilachok - 1, Bharatpur, Chitwan, Bagmati",1
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Ngt Sandwich Station,"Mills Area - 1, Bharatpur, Chitwan, Bagmati",1
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Tashi Delek,"Sahidchok - 1, Bharatpur, Chitwan, Bagmati",7
https://merokinmel.com/storage/category/icon/6331b782b46d4.png,Mom & Son Lounge And Bar,"Sahidchok - 3, Bharatpur, Chitwan, Bagmati",0
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,D Vibes Restaurant,"Pulchok - 1, Bharatpur, Chitwan, Bagmati",0
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Kathmandu Famous Momo,"Lilachok - 1, Bharatpur, Chitwan, Bagmati",0
https://merokinmel.com/storage/placeholder/placeholder-app-category.png,Food & Mug,"Mills Area - 3, Bharatpur, Chitwan, Bagmati",1
https://merokinmel.com/storage/category/icon/62b2de08f33d0.jpg,KMP Restaurant & Bar,"Shastriyachok - 10, Bharatpur, Chitwan, Bagmati",1
