URL,Title,Rating,Totalratings,RestaurantType,location,OpeningHours,ClosingHours,ImageURL,diningService,DiningService2,DeliveryService,location
https://www.google.com/maps/place/MOMO+PARK/data=!4m7!3m6!1s0x3994eff936b16663:0x8895e6d94e4ce130!8m2!3d27.5749284!4d84.4938043!16s%2Fg%2F11ll_1h2cq!19sChIJY2axNvnvlDkRMOFMTtnmlYg?authuser=0&hl=en&rclk=1,MOMO PARK,2.8,6,Restaurant,Failed to retrieve search results, Opens 7AM , Closes 9:30PM,https://lh5.googleusercontent.com/p/AF1QipMveUZqZj3cscCjdW0L73ky95PWDijlx1tzvrWq=w194-h92-k-no,Dine-in,Drive-through,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Shantiko+Kitchen/data=!4m7!3m6!1s0x3994efb67900706d:0x9328388cbfe9759b!8m2!3d27.577141!4d84.4951955!16s%2Fg%2F11j0yxq7yh!19sChIJbXAAebbvlDkRm3Xpv4w4KJM?authuser=0&hl=en&rclk=1,Shantiko Kitchen,4.8,110,Restaurant,Failed to retrieve search results, Opens 11:30AM , Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipO07-LzTiX-S64cE0tlzii-2GaCNO78oH4mRzGX=w122-h92-k-no,Dine-in,Kerbside pickup,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/D+Rendezvous+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3994ef0fb662d433:0x49c1d3c317470888!8m2!3d27.5812402!4d84.4929921!16s%2Fg%2F11p4zqnj4k!19sChIJM9Ritg_vlDkRiAhHF8PTwUk?authuser=0&hl=en&rclk=1,D Rendezvous Restaurant & Bar,5,2,Family-friendly,Failed to retrieve search results, Opens 5AM , Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipP6RY_1ocyDv5QfTM-M4ZXFksT3kR1quJejx_lc=w122-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Frankies+%26+More/data=!4m7!3m6!1s0x3994ef77dcfc0c25:0x6d34b2ab1123124c!8m2!3d27.5823295!4d84.4944951!16s%2Fg%2F11g_x0757k!19sChIJJQz83HfvlDkRTBIjEauyNG0?authuser=0&hl=en&rclk=1,Frankies & More,5,6,Restaurant,Failed to retrieve search results, Opens 7AM , Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipM-kEOuanyXArCa34rlbtmMMDv58W-o5EpgENFz=w80-h106-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Chimney+Multicuisine+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3994ef0cf6b294bf:0x4d191d3583a28700!8m2!3d27.6224492!4d84.5127844!16s%2Fg%2F11n7lgjz6m!19sChIJv5Sy9gzvlDkRAIeigzUdGU0?authuser=0&hl=en&rclk=1,Chimney Multicuisine Restaurant & Bar,4.1,9,Family-friendly,Failed to retrieve search results, Opens 7AM , Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipPJe6D4_oMe4p1B8GsYQhFQDJKG1YcGGZI8Np3q=w116-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Baishnab+Sweets+Mega+Outlet/data=!4m7!3m6!1s0x3994fb2efd162dcf:0x27db38b0aee4c686!8m2!3d27.6805936!4d84.43047!16s%2Fg%2F11c535t3z4!19sChIJzy0W_S77lDkRhsbkrrA42yc?authuser=0&hl=en&rclk=1,Baishnab Sweets Mega Outlet,3.9,942,Restaurant,Failed to retrieve search results,Opens 7AM , Closes 9:30PM,https://lh5.googleusercontent.com/p/AF1QipMg2yA4XMZTMe4qrhCGT9-WlbOZaPfAWdrQm2vd=w122-h92-k-no,Dine-in,Drive-through,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Kaka+Restaurant/data=!4m7!3m6!1s0x3994ef8fb8cdc2fd:0xdabec27ad1d3cfe0!8m2!3d27.61479!4d84.5179202!16s%2Fg%2F11nmq9p5g1!19sChIJ_cLNuI_vlDkR4M_T0XrCvto?authuser=0&hl=en&rclk=1,Kaka Restaurant,4.1,14,Restaurant,Failed to retrieve search results, Opens 7AM , Closes 9:30PM,https://lh5.googleusercontent.com/p/AF1QipN3toZY53aVjTsNWmqjFcodnSRM7jgnWg-tbm_m=w122-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Sanjh+Restaurant/data=!4m7!3m6!1s0x3994e86133db382f:0xd9c9a312e19e6c44!8m2!3d27.611729!4d84.569087!16s%2Fg%2F11c74hqfvq!19sChIJLzjbM2HolDkRRGye4RKjydk?authuser=0&hl=en&rclk=1,Sanjh Restaurant,3.2,9,Restaurant,Failed to retrieve search results, Opens 8AM , Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipPMhR4CXYVWf3oig1uTQCSauOB4tc6e9HmfR0zq=w122-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/New+Nepali+Kitchen/data=!4m7!3m6!1s0x3994ef05a1dd1ceb:0x84d0347b0b17f615!8m2!3d27.577115!4d84.4946936!16s%2Fg%2F11h01sk07b!19sChIJ6xzdoQXvlDkRFfYXC3s00IQ?authuser=0&hl=en&rclk=1,New Nepali Kitchen,4.4,7,Restaurant,Failed to retrieve search results, Opens 7AM , Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipPetJW9BBt-BgoUizKdNF7DhbiGBnvpzCdfihFQ=w204-h92-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
https://www.google.com/maps/place/Tharu+Corner/data=!4m7!3m6!1s0x3994efc57df5f9b7:0x84a7087444c8f897!8m2!3d27.5794003!4d84.4942142!16s%2Fg%2F11sm8spxqm!19sChIJt_n1fcXvlDkRl_jIRHQIp4Q?authuser=0&hl=en&rclk=1,Tharu Corner,3,2,Asian,Failed to retrieve search results, Opens 6AM , Closes 11:45PM,https://lh5.googleusercontent.com/p/AF1QipPZx8hnQn_0-oLFy6KmepYw7p6QVSo30VxxiGMU=w80-h106-k-no,Dine-in,Takeaway,Delivery,Failed to retrieve search results
