URL,Title,Rating,Total ratings,Type of restaurant,location,Opening Hours,Closing Hours,Image URL,dining service,Dining service2,Delivery service
https://www.google.com/maps/place/Yala+Cafe+%26+Coffee+Shop/data=!4m7!3m6!1s0x39eb19a1224562b3:0x6473484a76465282!8m2!3d27.7123167!4d85.3114541!16s%2Fg%2F11g079fs1_!19sChIJs2JFIqEZ6zkRglJGdkpIc2Q?authuser=0&hl=en&rclk=1,Yala Cafe & Coffee Shop,4.8,948,Asian Fusion,"Kwabahal, Thamel Marg", Opens 11AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipPg7hTgClI3qtqOiGtKD-vUpVjteIC4jfcOZfND=w138-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Cabana+By+Sky+High/data=!4m7!3m6!1s0x39eb195cfbf2cc95:0xadb5d0211e7f45bf!8m2!3d27.7205487!4d85.3195558!16s%2Fg%2F11q85h0kfy!19sChIJlczy-1wZ6zkRv0V_HiHQta0?authuser=0&hl=en&rclk=1,Cabana By Sky High,3.8,160,Restaurant,Lazimpat Rd 27, Opens 11AM, Closes 11:30PM,https://lh5.googleusercontent.com/p/AF1QipO65eljkttU_aLESy1egroioI_htR1F0Vyuv8cp=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Ichiban+Japanese+Restaurant/data=!4m7!3m6!1s0x39eb18fdbfe584b7:0x8d9377095d40bcde!8m2!3d27.7125221!4d85.3122913!16s%2Fg%2F11d_cbz0px!19sChIJt4Tlv_0Y6zkR3rxAXQl3k40?authuser=0&hl=en&rclk=1,Ichiban Japanese Restaurant,2.9,30,Japanese,"Post box number-1866, Amrit Marg", Opens 11:30AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipOEqREycxFDEjqt9bHd-POaDep3inIttjx2TESD=w163-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Utse+Restaurant+%26+Bar/data=!4m7!3m6!1s0x39eb19b713da69dd:0x2098d2d0e8c263fd!8m2!3d27.712295!4d85.312243!16s%2Fg%2F11h92b2n25!19sChIJ3WnaE7cZ6zkR_WPC6NDSmCA?authuser=0&hl=en&rclk=1,Utse Restaurant & Bar,4.5,45,Restaurant,Amrit Marg, Opens 6AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipMTJR5sbst9fWSdtdeH1sCvr4WsxS_WkGdEJPje=w80-h106-k-no,Dine-in,Kerbside pickup,No-contact delivery
https://www.google.com/maps/place/Nomad+Restaurant+and+Bar/data=!4m7!3m6!1s0x39eb194d5c175fef:0x7f3ad6de2e34443b!8m2!3d27.7134922!4d85.3109414!16s%2Fg%2F11h4xkytmw!19sChIJ718XXE0Z6zkRO0Q0Lt7WOn8?authuser=0&hl=en&rclk=1,Nomad Restaurant and Bar,4.6,51,Restaurant,Thamel Marg, Opens 9AM, Closes 10:30PM,https://lh5.googleusercontent.com/p/AF1QipNmd5bpsF8iQr5pZAToJMMxQJtFmfr9UwSJN-GR=w138-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Rato+Bhale+Fastfood+%26+Tandoori+Restaurant/data=!4m7!3m6!1s0x39eb19238dcf8fc3:0x33ec26b6aa1c32f0!8m2!3d27.7348402!4d85.3185971!16s%2Fg%2F11f3_wjglh!19sChIJw4_PjSMZ6zkR8DIcqrYm7DM?authuser=0&hl=en&rclk=1,Rato Bhale Fastfood & Tandoori Restaurant,4.1,54,Restaurant,Ring Rd Chowk, Opens 9AM, Closes 9:30PM,https://lh5.googleusercontent.com/p/AF1QipOYRVv6vxdIb6BPXKwk6KsSeoK_FFxHJXG411nW=w163-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Tomodachi+%28+%E3%81%A8%E3%82%82%E3%81%A0%E3%81%A1%29+Restaurant/data=!4m7!3m6!1s0x39eb194cff094929:0x70b30a72fe579d8e!8m2!3d27.7308429!4d85.3434184!16s%2Fg%2F11mx6lnn7_!19sChIJKUkJ_0wZ6zkRjp1X_nIKs3A?authuser=0&hl=en&rclk=1,Tomodachi ( ともだち) Restaurant,4.5,27,Japanese,Dhumbarai Rd, Opens 6AM, Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipMCXbba_qsTQuzvbur7TufVTaiP4jG-91zxNpna=w194-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Potala+Restaurant+Halal+Food/data=!4m7!3m6!1s0x39eb18fc516d211f:0x62e2b574dbc8642a!8m2!3d27.7131142!4d85.3106203!16s%2Fg%2F11btm0cn2z!19sChIJHyFtUfwY6zkRKmTI23S14mI?authuser=0&hl=en&rclk=1,Potala Restaurant Halal Food,4.1,97,Tibetan,Chaksibari Marg, Opens 11AM, Closes 9:30PM,https://lh5.googleusercontent.com/p/AF1QipP5tFepKumHqvPcIkgnSGIad6okMpGXjJshaFTw=w163-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Times+Square+Restaurant/data=!4m7!3m6!1s0x39eb191382d36899:0x8f496669182b3d58!8m2!3d27.7227549!4d85.3314317!16s%2Fg%2F11gg_tq9g7!19sChIJmWjTghMZ6zkRWD0rGGlmSY8?authuser=0&hl=en&rclk=1,Times Square Restaurant,4.1,400,Grill,Thirbam Sadak, Opens 8AM, Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipO0x1VaW7B-PzwIInTvCYHvsA6B_33Loux7nGf3=w163-h92-k-no,Dine-in,Takeaway,No delivery
https://www.google.com/maps/place/Matsuri+Tokyo/data=!4m7!3m6!1s0x39eb197fc176ef7b:0xff213ca6700da57e!8m2!3d27.7124301!4d85.3179602!16s%2Fg%2F11llt9k1dt!19sChIJe-92wX8Z6zkRfqUNcKY8If8?authuser=0&hl=en&rclk=1,Matsuri Tokyo,4.2,93,Japanese,Durbar Marg, Opens 9AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipOqpRozyL6CPM8nrhAYSsXbRYJbgkWJffnaHDoh=w122-h92-k-no,Dine-in,Kerbside pickup,No-contact delivery
https://www.google.com/maps/place/Roadside+Family+restaurant/data=!4m7!3m6!1s0x39eb18e6a241fc05:0xdb188d7e87cc017e!8m2!3d27.7230108!4d85.307241!16s%2Fg%2F11f5hl_kv5!19sChIJBfxBouYY6zkRfgHMh36NGNs?authuser=0&hl=en&rclk=1,Roadside Family restaurant,5,2,Fast Food,"Kathmandu, Dharagalli, Nayabazar", Opens 7AM, Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipOeIDi2JCjJkIQ1yUQQm9LksVywb3j4CJsAivvu=w122-h92-k-no,Dine-in,Takeaway,No-contact delivery
